segment,arc_length_m,x_m,z_m
suspended,0,17.389189528057,-5.6817537344528
suspended,0.091875,17.337683285505,-5.7578334310392
suspended,0.18375,17.286037089013,-5.8338181901465
suspended,0.275625,17.23425035284,-5.9097072351999
suspended,0.3675,17.182322489352,-5.9854997821259
suspended,0.459375,17.130252909039,-6.0611950392771
suspended,0.55125,17.078041020543,-6.1367922073561
suspended,0.643125,17.025686230675,-6.2122904793387
suspended,0.735,16.973187944446,-6.2876890403965
suspended,0.826875,16.920545565086,-6.362987067819
suspended,0.91875,16.867758494075,-6.4381837309353
suspended,1.010625,16.814826131164,-6.5132781910344
suspended,1.1025,16.761747874409,-6.5882696012861
suspended,1.194375,16.708523120198,-6.66315710666
suspended,1.28625,16.655151263277,-6.7379398438447
suspended,1.378125,16.601631696788,-6.8126169411666
suspended,1.47,16.547963812295,-6.887187518507
suspended,1.561875,16.49414699982,-6.9616506872201
suspended,1.65375,16.440180647879,-7.0360055500491
suspended,1.745625,16.386064143513,-7.1102512010424
suspended,1.8375,16.331796872327,-7.1843867254693
suspended,1.929375,16.277378218532,-7.2584111997346
suspended,2.02125,16.222807564975,-7.3323236912934
suspended,2.113125,16.168084293188,-7.4061232585646
suspended,2.205,16.113207783424,-7.4798089508441
suspended,2.296875,16.058177414705,-7.5533798082179
suspended,2.38875,16.00299256486,-7.6268348614741
suspended,2.480625,15.947652610576,-7.7001731320145
suspended,2.5725,15.892156927443,-7.7733936317662
suspended,2.664375,15.836504890001,-7.8464953630918
suspended,2.75625,15.780695871795,-7.9194773186999
suspended,2.848125,15.724729245419,-7.9923384815549
suspended,2.94,15.668604382575,-8.0650778247861
suspended,3.031875,15.612320654125,-8.1376943115966
suspended,3.12375,15.555877430147,-8.2101868951719
suspended,3.215625,15.499274079993,-8.2825545185876
suspended,3.3075,15.442509972348,-8.3547961147172
suspended,3.399375,15.385584475292,-8.4269106061393
suspended,3.49125,15.328496956361,-8.4988969050441
suspended,3.583125,15.271246782613,-8.5707539131406
suspended,3.675,15.213833320693,-8.642480521562
suspended,3.766875,15.156255936901,-8.7140756107721
suspended,3.85875,15.098513997263,-8.7855380504705
suspended,3.950625,15.040606867601,-8.8568666994981
suspended,4.0425,14.982533913608,-8.9280604057421
suspended,4.134375,14.924294500923,-8.9991180060408
suspended,4.22625,14.865887995208,-9.0700383260881
suspended,4.318125,14.807313762228,-9.1408201803382
suspended,4.41,14.748571167934,-9.2114623719096
suspended,4.501875,14.689659578543,-9.2819636924897
suspended,4.59375,14.630578360627,-9.3523229222382
suspended,4.685625,14.571326881202,-9.4225388296919
suspended,4.7775,14.511904507813,-9.4926101716682
suspended,4.869375,14.452310608631,-9.5625356931692
suspended,4.96125,14.392544552547,-9.6323141272857
suspended,5.053125,14.332605709268,-9.7019441951015
suspended,5.145,14.272493449417,-9.7714246055974
suspended,5.236875,14.212207144633,-9.8407540555553
suspended,5.32875,14.151746167679,-9.9099312294633
suspended,5.420625,14.091109892544,-9.9789547994201
suspended,5.5125,14.030297694558,-10.04782342504
suspended,5.604375,13.969308950498,-10.116535753358
suspended,5.69625,13.908143038705,-10.185090418736
suspended,5.788125,13.846799339202,-10.253486042769
suspended,5.88,13.785277233812,-10.321721234189
suspended,5.971875,13.723576106282,-10.389794588777
suspended,6.06375,13.661695342406,-10.457704689266
suspended,6.155625,13.599634330155,-10.525450105251
suspended,6.2475,13.537392459809,-10.593029393097
suspended,6.339375,13.474969124086,-10.66044109585
suspended,6.43125,13.412363718283,-10.727683743144
suspended,6.523125,13.349575640415,-10.794755851116
suspended,6.615,13.286604291357,-10.861655922317
suspended,6.706875,13.223449074989,-10.92838244562
suspended,6.79875,13.160109398347,-10.994933896143
suspended,6.890625,13.096584671771,-11.061308735153
suspended,6.9825,13.032874309066,-11.127505409992
suspended,7.074375,12.968977727655,-11.193522353989
suspended,7.16625,12.904894348744,-11.259357986378
suspended,7.258125,12.840623597485,-11.32501071222
suspended,7.35,12.776164903145,-11.390478922326
suspended,7.441875,12.711517699278,-11.455760993174
suspended,7.53375,12.646681423898,-11.52085528684
suspended,7.625625,12.58165551966,-11.585760150919
suspended,7.7175,12.516439434042,-11.650473918456
suspended,7.809375,12.451032619527,-11.714994907876
suspended,7.90125,12.385434533796,-11.779321422913
suspended,7.993125,12.319644639919,-11.843451752545
suspended,8.085,12.253662406551,-11.90738417093
suspended,8.176875,12.18748730813,-11.971116937345
suspended,8.26875,12.121118825084,-12.034648296125
suspended,8.360625,12.054556444038,-12.097976476604
suspended,8.4525,11.987799658022,-12.161099693067
