wind_speed_mps,draft_m,model_depth_m
12,0.670,11.495359471832
12,0.671,11.983556597241
12,0.672,12.475966151236
12,0.673,12.972042200252
12,0.674,13.471326086521
12,0.675,13.973430266988
12,0.676,14.478025477739
12,0.677,14.984830487385
12,0.678,15.493603873362
12,0.679,16.004137385746
12,0.680,16.516250562881
12,0.681,17.029786339097
12,0.682,17.544607442757
12,0.683,18.060593427193
12,0.684,18.577638211088
12,0.685,19.095648031024
12,0.686,19.61453972918
12,0.687,20.134239314876
12,0.688,20.654680750945
12,0.689,21.175804925531
12,0.690,21.6975587775
12,0.691,22.219894549663
12,0.692,22.742769148783
12,0.693,23.266143595147
12,0.694,23.789982547567
12,0.695,24.310914567175
12,0.696,24.778668524186
12,0.697,25.178951457212
12,0.698,25.517496484788
12,0.699,25.801818234515
12,0.700,26.039976235263
12,0.701,26.239660378779
12,0.702,26.407687289458
12,0.703,26.549825166241
12,0.704,26.670818510215
12,0.705,26.774507337881
12,0.706,26.863975144193
12,0.707,26.941691940465
12,0.708,27.009638596872
12,0.709,27.069409191433
12,0.710,27.122292788916
12,0.711,27.169337749699
12,0.712,27.211401910897
12,0.713,27.24919164097
12,0.714,27.283292254306
12,0.715,27.314191761965
12,0.716,27.342299494154
12,0.717,27.367960773399
12,0.718,27.391468538419
12,0.719,27.413072604596
12,0.720,27.432987084172
12,0.721,27.451396366238
12,0.722,27.468459963519
12,0.723,27.484316462625
12,0.724,27.499086761076
12,0.725,27.512876733826
12,0.726,27.525779440959
12,0.727,27.537876964443
12,0.728,27.549241943443
12,0.729,27.559938863444
12,0.730,27.570025143346
12,0.731,27.579552055995
12,0.732,27.588565510769
12,0.733,27.597106721426
12,0.734,27.605212778127
12,0.735,27.612917139094
12,0.736,27.620250054619
12,0.737,27.627238933908
12,0.738,27.633908663458
12,0.739,27.64028188419
12,0.740,27.646379233362
12,0.741,27.652219556334
12,0.742,27.657820092421
12,0.743,27.663196638424
12,0.744,27.66836369287
12,0.745,27.673334583544
12,0.746,27.678121580492
12,0.747,27.682735996384
12,0.748,27.687188275829
12,0.749,27.691488075027
12,0.750,27.695644332938
12,0.751,27.699665335002
12,0.752,27.703558770279
12,0.753,27.707331782798
12,0.754,27.710991017769
12,0.755,27.714542663246
12,0.756,27.717992487748
12,0.757,27.721345874285
12,0.758,27.724607851178
12,0.759,27.727783120019
12,0.760,27.730876081066
12,0.761,27.733890856348
12,0.762,27.736831310709
12,0.763,27.739701071007
12,0.764,27.742503543642
12,0.765,27.745241930586
12,0.766,27.747919244059
12,0.767,27.750538319983
12,0.768,27.753101830316
12,0.769,27.755612294401
12,0.770,27.758072089385
12,0.771,27.760483459821
12,0.772,27.762848526513
12,0.773,27.765169294676
12,0.774,27.767447661471
12,0.775,27.769685422964
12,0.776,27.771884280575
12,0.777,27.774045847037
12,0.778,27.776171651923
12,0.779,27.778263146777
12,0.780,27.780321709871
12,0.781,27.78234865063
12,0.782,27.784345213737
12,0.783,27.786312582967
12,0.784,27.788251884746
12,0.785,27.790164191475
12,0.786,27.792050524624
12,0.787,27.793911857626
12,0.788,27.795749118574
12,0.789,27.797563192749
12,0.790,27.79935492498
12,0.791,27.801125121847
12,0.792,27.80287455376
12,0.793,27.804603956888
12,0.794,27.806314034984
12,0.795,27.808005461088
12,0.796,27.80967887913
12,0.797,27.811334905431
12,0.798,27.812974130121
12,0.799,27.814597118467
12,0.800,27.816204412126
12,0.801,27.81779653032
12,0.802,27.819373970948
12,0.803,27.820937211633
12,0.804,27.822486710706
12,0.805,27.82402290814
12,0.806,27.825546226423
12,0.807,27.827057071394
12,0.808,27.828555833022
12,0.809,27.830042886149
12,0.810,27.831518591191
12,0.811,27.8329832948
12,0.812,27.834437330492
12,0.813,27.835881019243
12,0.814,27.837314670048
12,0.815,27.838738580461
12,0.816,27.840153037093
12,0.817,27.841558316101
12,0.818,27.842954683636
12,0.819,27.84434239628
12,0.820,27.845721701455
12,0.821,27.847092837816
12,0.822,27.848456035616
12,0.823,27.849811517067
12,0.824,27.851159496667
12,0.825,27.852500181526
12,0.826,27.853833771667
12,0.827,27.855160460315
12,0.828,27.856480434175
12,0.829,27.857793873692
12,0.830,27.859100953301
12,0.831,27.860401841672
12,0.832,27.861696701927
12,0.833,27.862985691868
12,0.834,27.864268964178
12,0.835,27.865546666621
12,0.836,27.866818942229
12,0.837,27.868085929488
12,0.838,27.869347762504
12,0.839,27.870604571174
12,0.840,27.871856481337
12,0.841,27.873103614934
12,0.842,27.874346090143
12,0.843,27.875584021525
12,0.844,27.876817520149
12,0.845,27.878046693727
12,0.846,27.879271646728
12,0.847,27.880492480497
12,0.848,27.881709293369
12,0.849,27.882922180772
12,0.850,27.884131235329
24,0.670,7.9944785563114
24,0.671,8.2613883794313
24,0.672,8.5397043605271
24,0.673,8.8289538167721
24,0.674,9.1286719034202
24,0.675,9.438403583308
24,0.676,9.7577052491265
24,0.677,10.086146023656
24,0.678,10.423308766257
24,0.679,10.76879081549
24,0.680,11.122204498124
24,0.681,11.48317743418
24,0.682,11.851352666372
24,0.683,12.226388640501
24,0.684,12.607959061221
24,0.685,12.995752645337
24,0.686,13.389472792415
24,0.687,13.788837190185
24,0.688,14.193577369989
24,0.689,14.603438225451
24,0.690,15.01817750561
24,0.691,15.437565292026
24,0.692,15.861383467798
24,0.693,16.289425185066
24,0.694,16.721494336328
24,0.695,17.156569870852
24,0.696,17.581808109663
24,0.697,17.992781404078
24,0.698,18.389399021497
24,0.699,18.771637209224
24,0.700,19.139536663495
24,0.701,19.493199139396
24,0.702,19.832783311876
24,0.703,20.158500021034
24,0.704,20.470607049625
24,0.705,20.769403587018
24,0.706,21.055224531995
24,0.707,21.328434777906
24,0.708,21.589423609088
24,0.709,21.838599318956
24,0.710,22.076384139235
24,0.711,22.303209548221
24,0.712,22.519512004852
24,0.713,22.725729135931
24,0.714,22.92229638668
24,0.715,23.109644130336
24,0.716,23.28819522097
24,0.717,23.458362964873
24,0.718,23.620549479735
24,0.719,23.775144406909
24,0.720,23.922523940127
24,0.721,24.063050133627
24,0.722,24.197070453507
24,0.723,24.324917537808
24,0.724,24.446909133181
24,0.725,24.563348178707
24,0.726,24.674523010328
24,0.727,24.780707662296
24,0.728,24.882162244943
24,0.729,24.9791333808
24,0.730,25.071854683663
24,0.731,25.160547267532
24,0.732,25.245420274448
24,0.733,25.326671412133
24,0.734,25.40448749397
24,0.735,25.479044975306
24,0.736,25.55051048126
24,0.737,25.619041322313
24,0.738,25.684785994809
24,0.739,25.747884664263
24,0.740,25.808469629992
24,0.741,25.866665770099
24,0.742,25.922590966246
24,0.743,25.976356508022
24,0.744,26.028067476937
24,0.745,26.077823110348
24,0.746,26.125717145716
24,0.747,26.171838145789
24,0.748,26.216269805349
24,0.749,26.259091240236
24,0.750,26.30037725943
24,0.751,26.340198620957
24,0.752,26.378622272428
24,0.753,26.415711576996
24,0.754,26.451526525519
24,0.755,26.486123935695
24,0.756,26.519557638912
24,0.757,26.551878655532
24,0.758,26.583135359294
24,0.759,26.6133736315
24,0.760,26.642637005607
24,0.761,26.670966802824
24,0.762,26.698402259269
24,0.763,26.724980645238
24,0.764,26.75073737706
24,0.765,26.775706122036
24,0.766,26.799918896895
24,0.767,26.823406160181
24,0.768,26.846196898973
24,0.769,26.86831871029
24,0.770,26.889797877539
24,0.771,26.910659442316
24,0.772,26.930927271864
24,0.773,26.950624122472
24,0.774,26.969771699064
24,0.775,26.988390711242
24,0.776,27.006500925997
24,0.777,27.024121217304
24,0.778,27.041269612801
24,0.779,27.057963337742
24,0.780,27.074218856391
24,0.781,27.090051911018
24,0.782,27.105477558661
24,0.783,27.120510205768
24,0.784,27.13516364089
24,0.785,27.149451065502
24,0.786,27.16338512311
24,0.787,27.176977926715
24,0.788,27.190241084763
24,0.789,27.203185725651
24,0.790,27.215822520893
24,0.791,27.22816170702
24,0.792,27.240213106288
24,0.793,27.251986146272
24,0.794,27.263489878411
24,0.795,27.274732995556
24,0.796,27.285723848602
24,0.797,27.296470462228
24,0.798,27.306980549828
24,0.799,27.317261527657
24,0.800,27.327320528245
24,0.801,27.337164413125
24,0.802,27.346799784914
24,0.803,27.356232998768
