node_index,x_m,z_m
0,16.695038021043423,-5.657703799592912
1,16.622647237578104,-5.733760189655005
2,16.55018904401087,-5.809752361521411
3,16.477663418717288,-5.885680180374417
4,16.405070340274875,-5.961543511188808
5,16.332409787464076,-6.0373422187320696
6,16.25968173926924,-6.113076167564608
7,16.186886174879614,-6.188745222039975
8,16.11402307369033,-6.264349246305089
9,16.041092415303382,-6.339888104300469
10,15.96809417952862,-6.41536165976046
11,15.895028346384752,-6.490769776213481
12,15.82189489610032,-6.566112316982257
13,15.748693809114709,-6.641389145184068
14,15.675425066079136,-6.716600123731
15,15.60208864785765,-6.791745115330198
16,15.528684535528141,-6.866823982484123
17,15.455212710383327,-6.941836587490814
18,15.381673153931768,-7.016782792444153
19,15.308065847898872,-7.091662459234142
20,15.2343907742279,-7.166475449547168
21,15.160647915080975,-7.241221624866288
22,15.08683725284009,-7.315900846471511
23,15.012958770108128,-7.3905129754400845
24,14.939012449709868,-7.4650578726467876
25,14.864998274693006,-7.539535398764224
26,14.790916228329174,-7.613945414263127
27,14.71676629411495,-7.688287779412659
28,14.64254845577289,-7.762562354280725
29,14.568262697252543,-7.836768998734281
30,14.493909002731476,-7.91090757243966
31,14.419487356616301,-7.984977934862883
32,14.3449977435437,-8.058979945269996
33,14.27044014838146,-8.132913462727394
34,14.195814556229493,-8.206778346102162
35,14.12112095242087,-8.28057445406241
36,14.046359322522864,-8.354301645077621
37,13.971529652337969,-8.427959777419
38,13.89663192790495,-8.501548709159824
39,13.821666135499873,-8.575068298175806
40,13.746632261637144,-8.648518402145452
41,13.67153029307055,-8.721898878550437
42,13.596360216794304,-8.795209584675963
43,13.521122020044084,-8.86845037761115
44,13.445815690298076,-8.941621114249413
45,13.370441215278031,-9.014721651288838
46,13.294998582950294,-9.087751845232589
47,13.219487781526869,-9.160711552389294
48,13.143908799466459,-9.233600628873443
49,13.068261625475522,-9.306418930605803
50,12.99254624850932,-9.379166313313815
51,12.916762657772978,-9.45184263253202
52,12.840910842722527,-9.52444774360247
53,12.764990793065978,-9.596981501675156
54,12.68900249876436,-9.669443761708438
55,12.612945950032795,-9.741834378469473
56,12.53682113734155,-9.814153206534664
57,12.460628051417089,-9.886400100290091
58,12.384366683243158,-9.958574913931969
59,12.308037024061822,-10.0306775014671
60,12.231639065374548,-10.102707716713326
61,12.155172798943259,-10.174665413299994
