wind_speed_mps,current_speed_mps,chain_model,link_count,ball_mass_kg,draft_m,model_depth_m
36.0,0.0,II,210,1200.0,0.654,5.555525525179714
36.0,0.0,II,210,1200.0,0.655,5.568604325766255
36.0,0.0,II,210,1200.0,0.656,5.589352254955529
36.0,0.0,II,210,1200.0,0.657,5.617774519269348
36.0,0.0,II,210,1200.0,0.658,5.653871483629348
36.0,0.0,II,210,1200.0,0.659,5.697638670449953
36.0,0.0,II,210,1200.0,0.66,5.7490667739924275
36.0,0.0,II,210,1200.0,0.661,5.8081416898503
36.0,0.0,II,210,1200.0,0.662,5.874844559356333
36.0,0.0,II,210,1200.0,0.663,5.949151828587846
36.0,0.0,II,210,1200.0,0.664,6.03103532154385
36.0,0.0,II,210,1200.0,0.665,6.120462326969724
36.0,0.0,II,210,1200.0,0.666,6.217395698213676
36.0,0.0,II,210,1200.0,0.667,6.321793965416247
36.0,0.0,II,210,1200.0,0.668,6.4336114592590805
36.0,0.0,II,210,1200.0,0.669,6.552798445434021
36.0,0.0,II,210,1200.0,0.67,6.679301268938171
36.0,0.0,II,210,1200.0,0.671,6.813062507255625
36.0,0.0,II,210,1200.0,0.672,6.9540211314519444
36.0,0.0,II,210,1200.0,0.673,7.10211267418396
36.0,0.0,II,210,1200.0,0.674,7.257269403613448
36.0,0.0,II,210,1200.0,0.675,7.419420502210467
36.0,0.0,II,210,1200.0,0.676,7.588492249438145
36.0,0.0,II,210,1200.0,0.677,7.764408207326295
36.0,0.0,II,210,1200.0,0.678,7.947089407965125
36.0,0.0,II,210,1200.0,0.679,8.136454541981848
36.0,0.0,II,210,1200.0,0.68,8.33242014710127
36.0,0.0,II,210,1200.0,0.681,8.534900795936228
36.0,0.0,II,210,1200.0,0.682,8.743809282188858
36.0,0.0,II,210,1200.0,0.683,8.959056804574724
36.0,0.0,II,210,1200.0,0.684,9.180553147657337
36.0,0.0,II,210,1200.0,0.685,9.408206859064542
36.0,0.0,II,210,1200.0,0.686,9.641925422465288
36.0,0.0,II,210,1200.0,0.687,9.881615425799101
36.0,0.0,II,210,1200.0,0.688,10.127182724306742
36.0,0.0,II,210,1200.0,0.689,10.37853259797007
36.0,0.0,II,210,1200.0,0.69,10.635569903028697
36.0,0.0,II,210,1200.0,0.691,10.898199217298256
36.0,0.0,II,210,1200.0,0.692,11.166324979070595
36.0,0.0,II,210,1200.0,0.693,11.439851619428723
36.0,0.0,II,210,1200.0,0.694,11.718683687858988
36.0,0.0,II,210,1200.0,0.695,12.002354779258898
36.0,0.0,II,210,1200.0,0.696,12.285137438691184
36.0,0.0,II,210,1200.0,0.697,12.565026093212992
36.0,0.0,II,210,1200.0,0.698,12.841918254402906
36.0,0.0,II,210,1200.0,0.699,13.11571738901732
36.0,0.0,II,210,1200.0,0.7,13.38633301542124
36.0,0.0,II,210,1200.0,0.701,13.65368077575721
36.0,0.0,II,210,1200.0,0.702,13.917682484063185
36.0,0.0,II,210,1200.0,0.703,14.178266150707367
36.0,0.0,II,210,1200.0,0.704,14.435365983660722
36.0,0.0,II,210,1200.0,0.705,14.688922367272678
36.0,0.0,II,210,1200.0,0.706,14.938881819351783
36.0,0.0,II,210,1200.0,0.707,15.18519692747742
36.0,0.0,II,210,1200.0,0.708,15.427826265583894
36.0,0.0,II,210,1200.0,0.709,15.666734291957615
36.0,0.0,II,210,1200.0,0.71,15.901891229876473
36.0,0.0,II,210,1200.0,0.711,16.13327293219232
36.0,0.0,II,210,1200.0,0.712,16.36086073121642
36.0,0.0,II,210,1200.0,0.713,16.58464127531054
36.0,0.0,II,210,1200.0,0.714,16.80460635361535
36.0,0.0,II,210,1200.0,0.715,17.02075271036109
36.0,0.0,II,210,1200.0,0.716,17.23308185020671
36.0,0.0,II,210,1200.0,0.717,17.441599836039376
36.0,0.0,II,210,1200.0,0.718,17.646317080642067
36.0,0.0,II,210,1200.0,0.719,17.847248133599045
36.0,0.0,II,210,1200.0,0.72,18.044411464762693
36.0,0.0,II,210,1200.0,0.721,18.23782924554873
36.0,0.0,II,210,1200.0,0.722,18.427527129263858
36.0,0.0,II,210,1200.0,0.723,18.61353403159788
36.0,0.0,II,210,1200.0,0.724,18.795881912338817
36.0,0.0,II,210,1200.0,0.725,18.974605559288754
36.0,0.0,II,210,1200.0,0.726,19.149742375276073
36.0,0.0,II,210,1200.0,0.727,19.32133216907659
36.0,0.0,II,210,1200.0,0.728,19.489416950971016
36.0,0.0,II,210,1200.0,0.729,19.654040733582505
36.0,0.0,II,210,1200.0,0.73,19.815249338555994
36.0,0.0,II,210,1200.0,0.731,19.97309020955985
36.0,0.0,II,210,1200.0,0.732,20.12761223201324
36.0,0.0,II,210,1200.0,0.733,20.278865559868468
36.0,0.0,II,210,1200.0,0.734,20.426901449706897
36.0,0.0,II,210,1200.0,0.735,20.571772102341022
36.0,0.0,II,210,1200.0,0.736,20.713530512053843
36.0,0.0,II,210,1200.0,0.737,20.8522303235492
36.0,0.0,II,210,1200.0,0.738,20.98792569663513
36.0,0.0,II,210,1200.0,0.739,21.120671178614465
36.0,0.0,II,210,1200.0,0.74,21.250521584314345
36.0,0.0,II,210,1200.0,0.741,21.37753188364884
36.0,0.0,II,210,1200.0,0.742,21.501757096574757
36.0,0.0,II,210,1200.0,0.743,21.623252195272386
36.0,0.0,II,210,1200.0,0.744,21.74207201335782
36.0,0.0,II,210,1200.0,0.745,21.85827116191252
36.0,0.0,II,210,1200.0,0.746,21.97190395209912
36.0,0.0,II,210,1200.0,0.747,22.08302432411776
36.0,0.0,II,210,1200.0,0.748,22.191685782247845
36.0,0.0,II,210,1200.0,0.749,22.297941335711354
36.0,0.0,II,210,1200.0,0.75,22.401843445089522
36.0,0.0,II,210,1200.0,0.751,22.50344397402154
36.0,0.0,II,210,1200.0,0.752,22.60279414591338
36.0,0.0,II,210,1200.0,0.753,22.699944505386576
36.0,0.0,II,210,1200.0,0.754,22.7949448841987
36.0,0.0,II,210,1200.0,0.755,22.88784437137302
36.0,0.0,II,210,1200.0,0.756,22.978691287278416
36.0,0.0,II,210,1200.0,0.757,23.06753316140933
36.0,0.0,II,210,1200.0,0.758,23.154416713620964
36.0,0.0,II,210,1200.0,0.759,23.239387838584257
36.0,0.0,II,210,1200.0,0.76,23.32249159323318
36.0,0.0,II,210,1200.0,0.761,23.403772186986018
36.0,0.0,II,210,1200.0,0.762,23.483272974531538
36.0,0.0,II,210,1200.0,0.763,23.56103645098073
36.0,0.0,II,210,1200.0,0.764,23.637104249193573
36.0,0.0,II,210,1200.0,0.765,23.71151713910077
36.0,0.0,II,210,1200.0,0.766,23.784315028849484
36.0,0.0,II,210,1200.0,0.767,23.855536967611087
36.0,0.0,II,210,1200.0,0.768,23.925221149899176
36.0,0.0,II,210,1200.0,0.769,23.993404921253813
36.0,0.0,II,210,1200.0,0.77,24.060124785158024
36.0,0.0,II,210,1200.0,0.771,24.125416411060083
36.0,0.0,II,210,1200.0,0.772,24.189314643383675
36.0,0.0,II,210,1200.0,0.773,24.251853511416115
36.0,0.0,II,210,1200.0,0.774,24.313066239971896
36.0,0.0,II,210,1200.0,0.775,24.3729852607364
36.0,0.0,II,210,1200.0,0.776,24.431642224201433
36.0,0.0,II,210,1200.0,0.777,24.48906801211062
36.0,0.0,II,210,1200.0,0.778,24.545292750339133
36.0,0.0,II,210,1200.0,0.779,24.600345822137967
36.0,0.0,II,210,1200.0,0.78,24.654255881678466
36.0,0.0,II,210,1200.0,0.781,24.707050867838223
36.0,0.0,II,210,1200.0,0.782,24.758758018174376
36.0,0.0,II,210,1200.0,0.783,24.809403883034562
36.0,0.0,II,210,1200.0,0.784,24.859014339760925
36.0,0.0,II,210,1200.0,0.785,24.907614606945515
36.0,0.0,II,210,1200.0,0.786,24.955229258700417
36.0,0.0,II,210,1200.0,0.787,25.00188223890855
36.0,0.0,II,210,1200.0,0.788,25.04759687542478
36.0,0.0,II,210,1200.0,0.789,25.092395894199896
36.0,0.0,II,210,1200.0,0.79,25.136301433303274
36.0,0.0,II,210,1200.0,0.791,25.17933505682177
36.0,0.0,II,210,1200.0,0.792,25.221517768615865
36.0,0.0,II,210,1200.0,0.793,25.262870025915696
36.0,0.0,II,210,1200.0,0.794,25.303411752741663
36.0,0.0,II,210,1200.0,0.795,25.34316235313684
36.0,0.0,II,210,1200.0,0.796,25.382140724199225
36.0,0.0,II,210,1200.0,0.797,25.42036526890449
36.0,0.0,II,210,1200.0,0.798,25.457853908710472
36.0,0.0,II,210,1200.0,0.799,25.4946240959367
36.0,0.0,II,210,1200.0,0.8,25.53069282591317
36.0,0.0,II,210,1200.0,0.801,25.566076648893713
36.0,0.0,II,210,1200.0,0.802,25.600791681730225
36.0,0.0,II,210,1200.0,0.803,25.634853619305602
36.0,0.0,II,210,1200.0,0.804,25.66827774572304
36.0,0.0,II,210,1200.0,0.805,25.70107894525097
36.0,0.0,II,210,1200.0,0.806,25.733271713023395
36.0,0.0,II,210,1200.0,0.807,25.764870165495708
36.0,0.0,II,210,1200.0,0.808,25.7958880506568
36.0,0.0,II,210,1200.0,0.809,25.826338757999245
36.0,0.0,II,210,1200.0,0.81,25.85623532824901
36.0,0.0,II,210,1200.0,0.811,25.885590462856687
36.0,0.0,II,210,1200.0,0.812,25.914416533253647
36.0,0.0,II,210,1200.0,0.813,25.94272558987488
36.0,0.0,II,210,1200.0,0.814,25.970529370952498
36.0,0.0,II,210,1200.0,0.815,25.99783931108304
36.0,0.0,II,210,1200.0,0.816,26.02466654957172
36.0,0.0,II,210,1200.0,0.817,26.05102193855814
36.0,0.0,II,210,1200.0,0.818,26.076916050926584
36.0,0.0,II,210,1200.0,0.819,26.102359188005444
36.0,0.0,II,210,1200.0,0.82,26.12736138705954
36.0,0.0,II,210,1200.0,0.821,26.15193242857963
36.0,0.0,II,210,1200.0,0.822,26.17608184337348
36.0,0.0,II,210,1200.0,0.823,26.199818919462373
36.0,0.0,II,210,1200.0,0.824,26.22315270878783
36.0,0.0,II,210,1200.0,0.825,26.246092033732516
36.0,0.0,II,210,1200.0,0.826,26.26864549345971
36.0,0.0,II,210,1200.0,0.827,26.290821470075862
36.0,0.0,II,210,1200.0,0.828,26.31262813462005
